text,label
you give us back my id proof and  &lt;#&gt;  rs. we wont allow you to work. we will come to your home within days,ham
they did't play one day last year know even though they have very good team.. like india.,ham
4mths half price orange line rental & latest camera phones 4 free. had your phone 11mths ? call mobilesdirect free on 08000938767 to update now! or2stoptxt,spam
it just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,ham
you have won a guaranteed £1000 cash or a £2000 prize. to claim yr prize call our customer service representative on 08714712379 between 10am-7pm cost 10p,spam
"im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! u 4give me? i think u shldxxxx",ham
how i noe... did ü specify da domain as nusstu... ü still in sch...,ham
hi msg me:)i'm in office..,ham
that's the way you should stay oh.,ham
hey! do u fancy meetin me at 4 at cha  hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love pete x x x,ham
i'm going for bath will msg you next  &lt;#&gt;  min..,ham
"i do know what u mean,  is the king of not havin credit! i'm goin2bed now. night night sweet! only1more sleep! ",ham
"if you don't, your prize will go to another customer. t&c at www.t-c.biz 18+ 150p/min polo ltd suite 373 london w1j 6hl please call back if busy",spam
"me not waking up until 4 in the afternoon, sup",ham
ok lor. i ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,ham
good morning my dear........... have a great &amp; successful day.,ham
okay... i booked all already... including the one at bugis.,ham
have you seen who's back at holby?!,ham
change windows logoff sound..,ham
"that means you got an a in epi, she.s fine. she.s here now.",ham
what time you coming down later? ,ham
if u dun drive then how i go 2 sch.,ham
be sure to check your yahoo email. we sent photos yesterday,ham
i wanna watch that movie,ham
"just looked it up and addie goes back monday, sucks to be her",ham
oh k k:)but he is not a big hitter.anyway good,ham
"friendship is not a game to play, it is not a word to say, it doesn\'t start on march and ends on may, it is tomorrow, yesterday, today and e",ham
love it! daddy will make you scream with pleasure! i am going to slap your ass with my dick!,ham
ur tonexs subscription has been renewed and you have been charged £4.50. you can choose 10 more polys this month. www.clubzed.co.uk *billing msg*,spam
"good afternoon sunshine! how dawns that day ? are we refreshed and happy to be alive? do we breathe in the air and smile ? i think of you, my love ... as always",ham
hey company elama po mudyadhu.,ham
don't make life too stressfull.. always find time to laugh.. it may not add years to your life! but surely adds more life to ur years!! gud ni8..swt dreams..,ham
"shit babe.. thasa bit messed up.yeh, she shudvetold u. did urgran know?neway, illspeak 2 u2moro wen im not asleep...",ham
"hello my boytoy ... geeee i miss you already and i just woke up. i wish you were here in bed with me, cuddling me. i love you ...",ham
most of the tiime when i don't let you hug me it's so i don't break into tears.,ham
great comedy..cant stop laughing da:),ham
lol that would be awesome payback.,ham
tell me they're female :v how're you throwing in? we're deciding what all to get now,ham
sun ah... thk mayb can if dun have anythin on... thk have to book e lesson... e pilates is at orchard mrt u noe hor...  ,ham
i know but you need to get hotel now. i just got my invitation but i had to apologise. cali is to sweet for me to come to some english bloke's weddin,ham
yup i'm free...,ham
i am in office:)whats the matter..msg me now.i will call you at break:).,ham
pls speak to that customer machan.,ham
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham
tell them u have a headache and just want to use 1 hour of sick time.,ham
pls send me your address sir.,ham
you are right though. i can't give you the space you want and need. this is really starting to become an issue. i was going to suggest setting a definite move out--if i'm still there-- after greece. but maybe you are ready and should do it now.,ham
"night sweet, sleep well! i've just been to see the exorcism of emily rose and may never sleep again! hugs and snogs! ",ham
"we made it! eta at taunton is 12:30 as planned, hope that‘s still okday?! good to see you! :-xx",ham
did you stitch his trouser,ham
wat u doing there?,ham
doc prescribed me morphine cause the other pain meds aren't enough. waiting for my mom to bring it. that med should kick in fast so i'm gonna try to be on later,ham
yeah i imagine he would be really gentle. unlike the other docs who treat their patients like turkeys.,ham
at what time are you coming.,ham
"no, i decided that only people who care about stuff vote and caring about stuff is for losers",ham
yup ü not comin :-(,ham
hiya do u like the hlday pics looked horrible in them so took mo out! hows the camp amrca thing? speak soon serena:),ham
monthly password for wap. mobsi.com is 391784. use your wap phone not pc.,spam
ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! but you can call me there.xx,ham
mathews or tait or edwards or anderson,ham
"each moment in a day,has its own value-morning brings hope,afternoon brings faith,evening brings luv,night brings rest,wish u find them all today.good morning",ham
"no! but we found a diff farm shop to buy some cheese. on way back now, can i call in?",ham
"jolly good! by the way,  will give u tickets for sat eve 7.30. speak before then x",ham
free for 1st week! no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates www.getzed.co.uk pobox 36504 w45wq norm150p/tone 16+,spam
ok lor ü reaching then message me.,ham
that's significant but dont worry.,ham
huh i cant thk of more oredi how many pages do we have?,ham
buzzzz! *grins* did i buzz your ass? buzz your chest ? buzz your cock ? where do you keep your phone ? is the vibrator on ? did you feel it shake ?,ham
"i call you later, don't have network. if urgnt, sms me.",ham
"themob>hit the link to get a premium pink panther game, the new no. 1 from sugababes, a crazy zebra animation or a badass hoody wallpaper-all 4 free!",spam
we tried to call you re your reply to our sms for a video mobile 750 mins unlimited text free camcorder reply or call now 08000930705 del thurs,spam
when are you going to ride your bike?,ham
"could you not read me, my love ? i answered you",ham
"u need my presnts always bcz u cant mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha 'that mns prabha is'love' got it. dont mis me....",ham
love you aathi..love u lot..,ham
"sorry, i'll call later",ham
"customer place, i wil cal u sir.",ham
"evry emotion dsn't hav words.evry wish dsn't hav prayrs.. if u smile,d world is wit u.othrwise even d drop of tear dsn't lik 2 stay wit u.so b happy.. good morning, keep smiling:-)",ham
can help u swoop by picking u up from wherever ur other birds r meeting if u want.,ham
"velly good, yes please!",ham
shhhhh nobody is supposed to know!,ham
its ok..come to my home it vl nice to meet and v can chat..,ham
i dled 3d its very imp,ham
why nothing. ok anyway give me treat,ham
aiyah then i wait lor. then u entertain me. hee...,ham
am only searching for good dual sim mobile pa.,ham
you tell what happen dont behave like this to me. ok no need to say,ham
hhahhaahahah rofl wtf nig was leonardo in your room or something,ham
"idk. you keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. and i'm tired. i have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",ham
ok i'm coming home now.,ham
i'm leaving my house now.,ham
can you just come in for a sec? there's somebody here i want you to see,ham
free any day but i finish at 6 on mon n thurs...,ham
ok lor.,ham
customer service annoncement. you have a new years delivery waiting for you. please call 07046744435 now to arrange delivery,spam
do you like italian food?,ham
recpt 1/3. you have ordered a ringtone. your order is being processed...,spam
"we are at grandmas. oh dear, u still ill? i felt shit this morning but i think i am just hungover! another night then. we leave on sat.",ham
you will be receiving this week's triple echo ringtone shortly. enjoy it!,spam
winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,spam
"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.",ham
have you been practising your curtsey?,ham
nt joking seriously i told,ham
you didn't have to tell me that...now i'm thinking. plus he's going to stop all your runs,ham
"good morning, im suffering from fever and dysentry ..will not be able to come to office today.",ham
i'll probably be around mu a lot,ham
were gonna go get some tacos,ham
winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,spam
where can download clear movies. dvd copies.,ham
tell dear what happen to you. why you talking to me like an alian,ham
"total disappointment, when i texted you was the craziest shit got :(",ham
i am not having her number sir,ham
ok...,ham
hey das cool... iknow all 2 wellda peril of studentfinancial crisis!spk 2 u l8r.,ham
usually the body takes care of it buy making sure it doesnt progress. can we pls continue this talk on saturday.,ham
dear where you will be when i reach there,ham
"i can't, i don't have her number!",ham
"i noe la... u wana pei bf oso rite... k lor, other days den...",ham
themob>yo yo yo-here comes a new selection of hot downloads for our members to get for free! just click & open the next link sent to ur fone...,spam
that means get the door,ham
did u got that persons story,ham
much better now thanks lol,ham
hard live 121 chat just 60p/min. choose your girl and connect live. call 09094646899 now! cheap chat uk's biggest live service. vu bcm1896wc1n3xx,spam
u are subscribed to the best mobile content service in the uk for £3 per 10 days until you send stop to 82324. helpline 08706091795,spam
"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589",spam
does cinema plus drink appeal tomo? * is a fr thriller by director i like on at mac at 8.30.,ham
i hope you arnt pissed off but id would really like to see you tomorrow. love me xxxxxxxxxxxxxx,ham
"urgent urgent! we have 800 free flights to europe to give away, call b4 10th sept & take a friend 4 free. call now to claim on 09050000555. ba128nnfwfly150ppm",spam
probably earlier than that if the station's where i think it is,ham
"you have been selected to stay in 1 of 250 top british hotels - for nothing! holiday worth £350! to claim, call london 02072069400. bx 526, sw73ss",spam
just getting back home,ham
its sunny in california. the weather's just cool,ham
hey!!! i almost forgot ... happy b-day babe ! i love ya!!,ham
"okey doke. i'm at home, but not dressed cos laying around ill! speak to you later bout times and stuff. ",ham
yoyyooo u know how to change permissions for a drive in mac. my usb flash drive,ham
we stopped to get ice cream and will go back after,ham
dear i have reache room,ham
the length is e same but e top shorter n i got a fringe now. i thk i'm not going liao. too lazy. dun wan 2 distract u also.,ham
"today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me...",ham
"sorry man, my stash ran dry last night and i can't pick up more until sunday",ham
i am great princess! what are you thinking about me? :),ham
who u talking about?,ham
i am not at all happy with what you saying or doing,ham
wish i were with you now!,ham
your dad is back in ph?,ham
sorry i missed your call let's talk when you have the time. i'm on 07090201529,spam
what happened to our yo date?,ham
someonone you know is trying to contact you via our dating service! to find out who it could be call from your mobile or landline 09064015307 box334sk38ch ,spam
sad story of a man - last week was my b'day. my wife did'nt wish me. my parents forgot n so did my kids . i went to work. even my colleagues did not wish.,ham
can ü all decide faster cos my sis going home liao..,ham
wat would u like 4 ur birthday?,ham
so what did the bank say about the money?,ham
hey u still at the gym?,ham
hope you are having a great new semester. do wish you the very best. you are made for greatness.,ham
"no dice, art class 6 thru 9 :( thanks though. any idea what time i should come tomorrow?",ham
"free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",spam
you lifted my hopes with the offer of money. i am in need. especially when the end of the month approaches and it hurts my studying. anyways have a gr8 weekend,ham
"wishing you and your family merry ""x"" mas and happy new year in advance..",ham
k.k.how is your business now?,ham
hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.,ham
"good afternoon, my love ... how goes your day ? how did you sleep ? i hope your well, my boytoy ... i think of you ...",ham
you all ready for * big day tomorrow?,ham
am on the uworld site. am i buying the qbank only or am i buying it with the self assessment also?,ham
also andros ice etc etc,ham
i know that my friend already told that.,ham
we are supposed to meet to discuss abt our trip... thought xuhui told you? in the afternoon. thought we can go for lesson after that,ham
anyway i'm going shopping on my own now. cos my sis not done yet. dun disturb u liao.,ham
i'm gonna rip out my uterus.,ham
when ü login dat time... dad fetching ü home now?,ham
then u ask darren go n pick u lor... but i oso sian tmr haf 2 meet lect...,ham
hey ! don't forget ... you are mine ... for me ... my possession ... my property ... mmm ... *childish smile* ...,ham
congratulations ur awarded either £500 of cd gift vouchers & free entry 2 our £100 weekly draw txt music to 87066 tncs www.ldew.com 1 win150ppmx3age16,spam
"free message activate your 500 free text messages by replying to this message with the word free for terms & conditions, visit www.07781482378.com",spam
going to join tomorrow.,ham
i havent lei.. next mon can?,ham
"turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",ham
okie...,ham
eat jap done oso aft ur lect wat... ü got lect at 12 rite... ,ham
from here after the performance award is calculated every two month.not for current one month period..,ham
i will come to ur home now,ham
was gr8 to see that message. so when r u leaving? congrats dear. what school and wat r ur plans.,ham
you dont know you jabo me abi.,ham
jus came back fr lunch wif my sis only. u leh?,ham
"england v macedonia - dont miss the goals/team news. txt ur national team to 87077 eg england to 87077 try:wales, scotland 4txt/ú1.20 poboxox36504w45wq 16+",spam
i tot u outside cos darren say u come shopping. of course we nice wat. we jus went sim lim look at mp3 player.,ham
send a logo 2 ur lover - 2 names joined by a heart. txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo! pobox36504w45wq txtno 4 no ads 150p.,spam
"congratulations - thanks to a good friend u have won the £2,000 xmas prize. 2 claim is easy, just call 08712103738 now! only 10p per minute. bt-national-rate",spam
wat makes u thk i'll fall down. but actually i thk i'm quite prone 2 falls. lucky my dad at home i ask him come n fetch me already.,ham
"yo, i'm at my parents' gettin cash. good news: we picked up a downstem",ham
"09066362231 urgent! your mobile no 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach you! call 09066362231 asap!",spam
speaking of does he have any cash yet?,ham
"madam,regret disturbance.might receive a reference check from dlf premarica.kindly be informed.rgds,rakhesh,kerala.",ham
hey do you want anything to buy:),ham
i wait 4 ü inside da car park...,ham
"hey hey werethe monkeespeople say we monkeyaround! howdy gorgeous, howu doin? foundurself a jobyet sausage?love jen xxx",ham
how are you enjoying this semester? take care brother.,ham
"hi elaine, is today's meeting confirmed?",ham
i love ya too but try and budget your money better babe. gary would freak on me if he knew,ham
"spook up your mob with a halloween collection of a logo & pic message plus a free eerie tone, txt card spook to 8007 zed 08701417012150p per logo/pic ",spam
cheers lou! yeah was a goodnite shame u neva came! c ya gailxx,ham
lol. well quality aint bad at all so i aint complaining,ham
this is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,ham
i've got it down to a tea. not sure which flavour,ham
k i'll be sure to get up before noon and see what's what,ham
"sorry vikky, i'm watching olave mandara movie kano in trishul theatre wit my frnds..",ham
i was slept that time.you there?,ham
what are youdoing later? sar xxx,ham
haf u found him? i feel so stupid da v cam was working.,ham
haha... can... but i'm having dinner with my cousin...,ham
don know. i did't msg him recently.,ham
on the road so cant txt,ham
and how's your husband.,ham
u definitely need a module from e humanities dis sem izzit? u wan 2 take other modules 1st?,ham
desires- u going to doctor 4 liver. and get a bit stylish. get ur hair managed. thats it.,ham
i liked the new mobile,ham
finish already... yar they keep saying i mushy... i so embarrassed ok...,ham
good. no swimsuit allowed :),ham
neft transaction with reference number  &lt;#&gt;  for rs. &lt;decimal&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;time&gt; : &lt;#&gt;,ham
"me also da, i feel yesterday night  wait til 2day night dear.",ham
had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,spam
morning only i can ok.,ham
i accidentally deleted the message. resend please.,ham
once free call me sir.,ham
in life when you face choices just toss a coin not becoz its settle the question but while the coin in the air u will know what your heart is hoping for. gudni8,ham
"aight i've been set free, think you could text me blake's address? it occurs to me i'm not quite as sure what i'm doing as i thought i was",ham
"haha yeah i see that now, be there in a sec",ham
i'm wif him now buying tix lar...,ham
i had it already..sabarish asked me to go..,ham
its normally hot mail. com you see!,ham
ultimately tor motive tui achieve korli.,ham
yeah i can still give you a ride,ham
"hmm ok, i'll stay for like an hour cos my eye is really sore!",ham
refused a loan? secured or unsecured? can't get credit? call free now 0800 195 6669 or text back 'help' & we will!,spam
what is your record for one night? :),ham
